,X,FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y,station,label,quadrat
1,1,5543,2657728,0,0,0,no,BT,I,1367.302069,1,3,297469.4375,3239340.733,BTI1,BTI1 1,1
2,2,5750,2680633,0,0,0,no,BT,I,1367.302069,1,3,297457.4375,3239382.733,BTI1,BTI1 2,2
3,3,5554,2658819,0,0,0,no,BT,I,1367.302069,1,3,297469.4375,3239342.733,BTI1,BTI1 3,3
4,4,5747,2680630,0,0,0,no,BT,I,1367.302069,1,3,297451.4375,3239382.733,BTI1,BTI1 4,4
5,5,5317,2498645,0,2,0,no,BT,I,1292.190084,5,4,297875.4375,3239048.733,BTI5,BTI5 1,1
6,6,5072,2475684,0,2,0,no,BT,I,1292.190084,5,4,297775.4375,3239006.733,BTI5,BTI5 2,2
7,7,5326,2499726,0,2,0,no,BT,I,1292.190084,5,4,297855.4375,3239050.733,BTI5,BTI5 3,3
8,8,5151,2486646,0,2,0,no,BT,I,1292.190084,5,4,297879.4375,3239026.733,BTI5,BTI5 4,4
9,9,5455,2562975,0,1,0,no,BT,I,293.8362692,6,4,297797.4375,3239166.733,BTI6,BTI6 1,1
10,10,5388,2555339,0,1,0,no,BT,I,293.8362692,6,4,297799.4375,3239152.733,BTI6,BTI6 2,2
11,11,5431,2559707,0,1,0,no,BT,I,293.8362692,6,4,297807.4375,3239160.733,BTI6,BTI6 3,3
12,12,5403,2557521,0,1,0,no,BT,I,293.8362692,6,4,297799.4375,3239156.733,BTI6,BTI6 4,4
13,13,1632,818124,0,15,0,no,LC,I,3486.475107,1,3,299295.4375,3235966.733,LCI1,LCI1 1,1
14,14,1443,806115,0,15,0,no,LC,I,3486.475107,1,3,299279.4375,3235944.733,LCI1,LCI1 2,2
15,15,1668,821391,0,15,0,no,LC,I,3486.475107,1,3,299283.4375,3235972.733,LCI1,LCI1 3,3
16,16,1187,796292,0,15,0,no,LC,I,3486.475107,1,3,299271.4375,3235926.733,LCI1,LCI1 4,4
17,17,2262,868866,0,12,0,yes,LC,I,2077.73713,12,2,298225.4375,3236060.733,LCI12,LCI12 1,1
18,18,2565,885232,0,12,0,yes,LC,I,2077.73713,12,2,298227.4375,3236090.733,LCI12,LCI12 2,2
19,19,2458,879778,0,12,0,yes,LC,I,2077.73713,12,2,298229.4375,3236080.733,LCI12,LCI12 3,3
20,20,2329,872144,0,12,0,yes,LC,I,2077.73713,12,2,298235.4375,3236066.733,LCI12,LCI12 4,4
21,21,46,346334,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235102.733,LCI19,LCI19 1,1
22,22,89,348523,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235106.733,LCI19,LCI19 2,2
23,23,25,345237,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235100.733,LCI19,LCI19 3,3
24,24,192,353964,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235116.733,LCI19,LCI19 4,4
25,25,820,718639,0,13,0,yes,LC,I,2700.90951,2,4,298887.4375,3235784.733,LCI2,LCI2 1,1
26,26,448,698981,0,13,0,yes,LC,I,2700.90951,2,4,298847.4375,3235748.733,LCI2,LCI2 2,2
27,27,770,716450,0,13,0,yes,LC,I,2700.90951,2,4,298873.4375,3235780.733,LCI2,LCI2 3,3
28,28,667,712069,0,13,0,yes,LC,I,2700.90951,2,4,298839.4375,3235772.733,LCI2,LCI2 4,4
29,29,1682,822263,0,11,0,yes,LC,I,756.8899547,6,2,298845.4375,3235974.733,LCI6,LCI6 1,1
30,30,1874,829895,0,11,0,yes,LC,I,756.8899547,6,2,298835.4375,3235988.733,LCI6,LCI6 2,2
31,31,1995,834271,0,11,0,yes,LC,I,756.8899547,6,2,298859.4375,3235996.733,LCI6,LCI6 3,3
32,32,2027,836442,0,11,0,yes,LC,I,756.8899547,6,2,298837.4375,3236000.733,LCI6,LCI6 4,4
33,33,2824,897541,0,10,0,yes,LC,I,1042.858829,8,1,298843.4375,3236112.733,LCI8,LCI8 1,1
34,34,2638,888807,0,10,0,yes,LC,I,1042.858829,8,1,298831.4375,3236096.733,LCI8,LCI8 2,2
35,35,2771,894267,0,10,0,yes,LC,I,1042.858829,8,1,298841.4375,3236106.733,LCI8,LCI8 3,3
36,36,2560,884439,0,10,0,yes,LC,I,1042.858829,8,1,298823.4375,3236088.733,LCI8,LCI8 4,4
37,37,3295,1221402,0,7,0,yes,LC,N,1935.093966,3,1,298511.4375,3236706.733,LCN3,LCN3 1,1
38,38,3306,1221413,0,7,0,yes,LC,N,1935.093966,3,1,298533.4375,3236706.733,LCN3,LCN3 2,2
39,39,3614,1235580,0,7,0,yes,LC,N,1935.093966,3,1,298501.4375,3236732.733,LCN3,LCN3 3,3
40,40,3579,1233405,0,7,0,yes,LC,N,1935.093966,3,1,298515.4375,3236728.733,LCN3,LCN3 4,4
41,41,3751,1267318,0,8,0,yes,LC,N,720.9243809,7,4,298699.4375,3236790.733,LCN7,LCN7 1,1
42,42,3821,1274955,0,8,0,yes,LC,N,720.9243809,7,4,298699.4375,3236804.733,LCN7,LCN7 2,2
43,43,3757,1268405,0,8,0,yes,LC,N,720.9243809,7,4,298691.4375,3236792.733,LCN7,LCN7 3,3
44,44,3750,1267317,0,8,0,yes,LC,N,720.9243809,7,4,298697.4375,3236790.733,LCN7,LCN7 4,4
45,45,2914,1105737,0,9,0,yes,LC,N,1524.02246,8,1,298473.4375,3236494.733,LCN8,LCN8 1,1
46,46,3021,1118859,0,9,0,yes,LC,N,1524.02246,8,1,298533.4375,3236518.733,LCN8,LCN8 2,2
47,47,2902,1103555,0,9,0,yes,LC,N,1524.02246,8,1,298473.4375,3236490.733,LCN8,LCN8 3,3
48,48,3186,1139627,0,9,0,yes,LC,N,1524.02246,8,1,298611.4375,3236556.733,LCN8,LCN8 4,4
49,49,4604,2160567,0,3,0,no,LT,I,143.3596617,1,2,298139.4375,3238428.733,LTI1,LTI1 1,1
50,50,4589,2158384,0,3,0,no,LT,I,143.3596617,1,2,298137.4375,3238424.733,LTI1,LTI1 2,2
51,51,4597,2159476,0,3,0,no,LT,I,143.3596617,1,2,298139.4375,3238426.733,LTI1,LTI1 3,3
52,52,4601,2160564,0,3,0,no,LT,I,143.3596617,1,2,298133.4375,3238428.733,LTI1,LTI1 4,4
53,53,5011,2232605,0,5,0,no,LT,I,1096.851992,5,3,298203.4375,3238560.733,LTI5,LTI5 1,1
54,54,5054,2235888,0,5,0,no,LT,I,1096.851992,5,3,298223.4375,3238566.733,LTI5,LTI5 2,2
55,55,4896,2221708,0,5,0,no,LT,I,1096.851992,5,3,298229.4375,3238540.733,LTI5,LTI5 3,3
56,56,5026,2233696,0,5,0,no,LT,I,1096.851992,5,3,298203.4375,3238562.733,LTI5,LTI5 4,4
57,57,4694,2204250,0,4,0,no,LT,I,672.4937845,6,3,298225.4375,3238508.733,LTI6,LTI6 1,1
58,58,4739,2208607,0,4,0,no,LT,I,672.4937845,6,3,298211.4375,3238516.733,LTI6,LTI6 2,2
59,59,4705,2205339,0,4,0,no,LT,I,672.4937845,6,3,298221.4375,3238510.733,LTI6,LTI6 3,3
60,60,4733,2207523,0,4,0,no,LT,I,672.4937845,6,3,298225.4375,3238514.733,LTI6,LTI6 4,4
61,61,4436,1526915,0,6,0,no,NN,I,2673.721465,1,2,298577.4375,3237266.733,NNI1,NNI1 1,1
62,62,3979,1487581,0,6,0,no,NN,I,2673.721465,1,2,298461.4375,3237194.733,NNI1,NNI1 2,2
63,63,4188,1498518,0,6,0,no,NN,I,2673.721465,1,2,298515.4369,3237214.734,NNI1,NNI1 3,3
64,64,4125,1494129,0,6,0,no,NN,I,2673.721465,1,2,298465.4375,3237206.733,NNI1,NNI1 4,4
