day,month,year,Season,treatment,locality,site,bar,station,count_live,tran_length
27,5,2010,Summer,control,CK,I,1,CKI1,1231,24.9
27,5,2010,Summer,control,CK,I,2,CKI2,540,29.2
27,5,2010,Summer,control,CK,I,3,CKI3,811,21.9
27,5,2010,Summer,control,CK,N,1,CKN1,350,15.3
27,5,2010,Summer,control,CK,N,2,CKN2,83,41
27,5,2010,Summer,control,CK,N,3,CKN3,940,16.5
27,5,2010,Summer,control,CK,O,1,CKO1,54,23.2
27,5,2010,Summer,control,CK,O,2,CKO2,26,25.7
27,5,2010,Summer,control,CK,O,3,CKO3,226,33
24,5,2010,Summer,control,CR,I,1,CRI1,711,23.4
27,5,2010,Summer,control,CR,I,2,CRI2,1089,18.6
27,5,2010,Summer,control,CR,I,3,CRI3,693,13.9
23,5,2010,Summer,control,CR,N,1,CRN1,136,20.3
24,5,2010,Summer,control,CR,N,2,CRN2,97,21.6
24,5,2010,Summer,control,CR,N,3,CRN3,1107,35
24,5,2010,Summer,control,CR,O,1,CRO1,318,50
24,5,2010,Summer,control,CR,O,2,CRO2,1664,45
24,5,2010,Summer,control,CR,O,3,CRO3,20,40
25,5,2010,Summer,control,HB,I,1,HBI1,1211,32.5
25,5,2010,Summer,control,HB,I,2,HBI2,1152,16
25,5,2010,Summer,control,HB,I,3,HBI3,1314,26
25,5,2010,Summer,control,HB,I,4,HBI4,93,17.5
25,5,2010,Summer,control,HB,N,1,HBN1,46,18.1
25,5,2010,Summer,control,HB,N,2,HBN2,14,23.3
25,5,2010,Summer,control,HB,N,3,HBN3,45,16.5
25,5,2010,Summer,control,HB,O,1,HBO1,4,31.2
25,5,2010,Summer,control,HB,O,2,HBO2,11,15.6
25,5,2010,Summer,control,HB,O,3,HBO3,62,50
26,5,2010,Summer,control,LC,I,1,LCI1,611,20
26,5,2010,Summer,control,LC,I,2,LCI2,771,20.3
26,5,2010,Summer,control,LC,I,3,LCI3,619,20
26,5,2010,Summer,control,LC,N,1,LCN1,40,12.3
25,5,2010,Summer,control,LC,N,2,LCN2,30,17.7
26,5,2010,Summer,control,LC,N,3,LCN3,50,32.6
26,5,2010,Summer,control,LC,O,3,LCO3,117,21.3
26,5,2010,Summer,control,LC,O,8A,LCO8A,45,14.3
26,5,2010,Summer,control,LC,O,9B,LCO9B,79,20.3
9,7,2010,Summer,control,CK,I,1,CKI1,737,29.2
9,7,2010,Summer,control,CK,I,2,CKI2,1178,25
9,7,2010,Summer,control,CK,I,3,CKI3,797,21.8
9,7,2010,Summer,control,CK,N,1,CKN1,436,15
9,7,2010,Summer,control,CK,N,2,CKN2,78,35
9,7,2010,Summer,control,CK,N,3,CKN3,1455,17.5
9,7,2010,Summer,control,CK,O,1,CKO1,67,23.3
9,7,2010,Summer,control,CK,O,2,CKO2,61,30.4
9,7,2010,Summer,control,CK,O,3,CKO3,320,33
9,7,2010,Summer,control,CR,I,1,CRI1,820,23.3
6,7,2010,Summer,control,CR,I,2,CRI2,1160,18.6
9,7,2010,Summer,control,CR,I,3,CRI3,540,13.9
9,7,2010,Summer,control,CR,N,1,CRN1,214,20.5
9,7,2010,Summer,control,CR,N,2,CRN2,120,21.6
10,7,2010,Summer,control,CR,N,3,CRN3,726,30
6,7,2010,Summer,control,CR,O,1,CRO1,172,50
6,7,2010,Summer,control,CR,O,3,CRO3,24,21
6,7,2010,Summer,control,CR,O,4,CRO4,1664,25
7,7,2010,Summer,control,HB,I,1,HBI1,806,32.5
7,7,2010,Summer,control,HB,I,2,HBI2,838,16
7,7,2010,Summer,control,HB,I,3,HBI3,902,25.9
7,7,2010,Summer,control,HB,N,1,HBN1,664,18
7,7,2010,Summer,control,HB,N,2,HBN2,1545,23.5
7,7,2010,Summer,control,HB,N,3,HBN3,1521,17.5
7,7,2010,Summer,control,HB,N,5,HBN5,226,18
7,7,2010,Summer,control,HB,N,6,HBN6,704,22.7
7,7,2010,Summer,control,HB,O,1,HBO1,1634,31.5
8,7,2010,Summer,control,LC,I,1,LCI1,509,19.6
8,7,2010,Summer,control,LC,I,2,LCI2,416,20.2
8,7,2010,Summer,control,LC,I,3,LCI3,586,19.4
8,7,2010,Summer,control,LC,N,1,LCN1,31,12.5
8,7,2010,Summer,control,LC,N,2,LCN2,351,18.3
8,7,2010,Summer,control,LC,N,4,LCN4,80,18.5
8,7,2010,Summer,control,LC,N,5,LCN5,80,36
8,7,2010,Summer,control,LC,O,3,LCO3,223,21.8
8,7,2010,Summer,control,LC,O,8A,LCO8A,76,14.6
8,7,2010,Summer,control,LC,O,9B,LCO9B,32,20.8
8,8,2010,Summer,control,CK,I,1,CKI1,2027,25
8,8,2010,Summer,control,CK,I,2,CKI2,682,29
8,8,2010,Summer,control,CK,N,1,CKN1,233,15
8,8,2010,Summer,control,CK,N,2,CKN2,21,37.5
8,8,2010,Summer,control,CK,N,3,CKN3,1176,17.5
8,8,2010,Summer,control,CK,O,1,CKO1,281,25
8,8,2010,Summer,control,CK,O,2,CKO2,182,29.9
8,8,2010,Summer,control,CK,O,3,CKO3,658,32.5
5,8,2010,Summer,control,CR,I,1,CRI1,542,22
5,8,2010,Summer,control,CR,I,2,CRI2,1128,18.5
5,8,2010,Summer,control,CR,I,3,CRI3,474,13
5,8,2010,Summer,control,CR,N,1,CRN1,379,17.5
5,8,2010,Summer,control,CR,N,2,CRN2,63,20
5,8,2010,Summer,control,CR,N,3,CRN3,2131,32.5
5,8,2010,Summer,control,CR,O,1,CRO1,415,57.5
5,8,2010,Summer,control,CR,O,2,CRO2,3008,45
5,8,2010,Summer,control,CR,O,3,CRO3,10,35
6,8,2010,Summer,control,HB,I,1,HBI1,1435,32
6,8,2010,Summer,control,HB,I,2,HBI2,876,16
6,8,2010,Summer,control,HB,I,3,HBI3,1341,27.5
6,8,2010,Summer,control,HB,N,1,HBN1,308,18
6,8,2010,Summer,control,HB,N,2,HBN2,194,25
6,8,2010,Summer,control,HB,N,3,HBN3,503,17.5
6,8,2010,Summer,control,HB,O,1,HBO1,154,32.5
7,8,2010,Summer,control,LC,I,1,LCI1,645,19.5
7,8,2010,Summer,control,LC,I,2,LCI2,709,20
7,8,2010,Summer,control,LC,I,3,LCI3,976,20
7,8,2010,Summer,control,LC,N,1,LCN1,161,12.2
7,8,2010,Summer,control,LC,N,2,LCN2,54,33
7,8,2010,Summer,control,LC,N,3,LCN3,145,32
7,8,2010,Summer,control,LC,N,4,LCN4,18,17.5
7,8,2010,Summer,control,LC,O,3,LCO3,457,20
7,8,2010,Summer,control,LC,O,8A,LCO8A,325,14
7,8,2010,Summer,control,LC,O,9B,LCO9B,56,17.5
25,10,2010,Winter,control,CR,I,1,CRI1,1238,23
25,10,2010,Winter,control,CR,I,2,CRI2,2002,18.5
25,10,2010,Winter,control,CR,I,3,CRI3,960,13.5
25,10,2010,Winter,control,CR,N,1,CRN1,358,20
25,10,2010,Winter,control,CR,N,2,CRN2,359,22.5
25,10,2010,Winter,control,CR,N,3,CRN3,1145,35
25,10,2010,Winter,control,CR,O,1,CRO1,515,60
25,10,2010,Winter,control,CR,O,2,CRO2,1894,25
25,10,2010,Winter,control,CR,O,3,CRO3,169,40
27,10,2010,Winter,control,HB,I,1,HBI1,1938,32.3
27,10,2010,Winter,control,HB,I,2,HBI2,1421,16
27,10,2010,Winter,control,HB,I,3,HBI3,1385,25.5
27,10,2010,Winter,control,HB,N,1,HBN1,116,18
27,10,2010,Winter,control,HB,N,2,HBN2,20,23
27,10,2010,Winter,control,HB,N,3,HBN3,54,16.5
27,10,2010,Winter,control,HB,O,1,HBO1,44,32.5
27,10,2010,Winter,control,HB,O,2,HBO2,0,16
25,10,2010,Winter,control,LC,I,1,LCI1,950,19.5
26,10,2010,Winter,control,LC,I,2,LCI2,946,20
26,10,2010,Winter,control,LC,I,3,LCI3,1587,20
26,10,2010,Winter,control,LC,N,1,LCN1,82,12.3
26,10,2010,Winter,control,LC,N,2,LCN2,78,17.5
26,10,2010,Winter,control,LC,N,3,LCN3,146,25
26,10,2010,Winter,control,LC,N,4,LCN4,14,20
26,10,2010,Winter,control,LC,O,3,LCO3,333,21.2
26,10,2010,Winter,control,LC,O,8A,LCO8A,142,14.3
26,10,2010,Winter,control,LC,O,9B,LCO9B,18,20
6,12,2010,Winter,control,CR,I,1,CRI1,540,23.4
6,12,2010,Winter,control,CR,I,2,CRI2,1406,18.6
6,12,2010,Winter,control,CR,I,3,CRI3,1008,13.9
6,12,2010,Winter,control,CR,N,1,CRN1,652,17.5
6,12,2010,Winter,control,CR,N,2,CRN2,408,21.64
6,12,2010,Winter,control,CR,N,3,CRN3,800,35
6,12,2010,Winter,control,CR,O,1,CRO1,516,65
6,12,2010,Winter,control,CR,O,2,CRO2,1664,45
6,12,2010,Winter,control,CR,O,3,CRO3,48,40
8,12,2010,Winter,control,HB,I,1,HBI1,1192,32.5
8,12,2010,Winter,control,HB,I,2,HBI2,1256,16
8,12,2010,Winter,control,HB,I,3,HBI3,1892,26
8,12,2010,Winter,control,HB,N,1,HBN1,40,18.1
8,12,2010,Winter,control,HB,N,2,HBN2,24,23.3
8,12,2010,Winter,control,HB,N,5,HBN5,50,17.5
8,12,2010,Winter,control,HB,N,6,HBN6,816,22.5
8,12,2010,Winter,control,HB,O,1,HBO1,16,31.2
8,12,2010,Winter,control,HB,O,2,HBO2,0,15.6
8,12,2010,Winter,control,HB,O,3,HBO3,24,50
7,12,2010,Winter,control,LC,I,1,LCI1,982,20
7,12,2010,Winter,control,LC,I,2,LCI2,652,20.29
7,12,2010,Winter,control,LC,I,3,LCI3,1186,20
7,12,2010,Winter,control,LC,N,1,LCN1,0,12.3
7,12,2010,Winter,control,LC,N,2,LCN2,72,17.7
7,12,2010,Winter,control,LC,N,3,LCN3,56,32.6
7,12,2010,Winter,control,LC,N,4,LCN4,30,20
7,12,2010,Winter,control,LC,O,3,LCO3,286,21.3
7,12,2010,Winter,control,LC,O,8A,LCO8A,132,14.3
7,12,2010,Winter,control,LC,O,9B,LCO9B,34,20.3
12,7,2011,Summer,control,CR,I,1,CRI1,2225,23
12,7,2011,Summer,control,CR,I,2,CRI2,2182,18.5
12,7,2011,Summer,control,CR,I,3,CRI3,1357,13.6
12,7,2011,Summer,control,CR,N,1,CRN1,56,22.9
12,7,2011,Summer,control,CR,N,2,CRN2,101,22.4
12,7,2011,Summer,control,CR,N,3,CRN3,436,35.8
12,7,2011,Summer,control,CR,O,1,CRO1,145,63.8
12,7,2011,Summer,control,CR,O,3,CRO3,118,40
12,7,2011,Summer,control,CR,O,4,CRO4,882,28.7
11,7,2011,Summer,control,HB,I,2,HBI2,1585,16
11,7,2011,Summer,control,HB,I,3,HBI3,2350,25
10,7,2011,Summer,control,HB,N,2,HBN2,107,23.5
10,7,2011,Summer,control,HB,N,3,HBN3,398,16.8
10,7,2011,Summer,control,HB,O,1,HBO1,1609,32.5
10,7,2011,Summer,control,HB,O,2,HBO2,152,16
10,7,2011,Summer,control,HB,O,3,HBO3,14,54
11,7,2011,Summer,control,LC,I,1,LCI1,361,20
11,7,2011,Summer,control,LC,I,2,LCI2,1583,20
11,7,2011,Summer,control,LC,I,3,LCI3,1518,19.3
11,7,2011,Summer,control,LC,N,1,LCN1,0,12.7
11,7,2011,Summer,control,LC,N,2,LCN2,6,20.1
11,7,2011,Summer,control,LC,N,3,LCN3,5,18.5
11,7,2011,Summer,control,LC,O,3,LCO3,231,21.3
11,7,2011,Summer,control,LC,O,8A,LCO8A,197,14.25
11,7,2011,Summer,control,LC,O,9B,LCO9B,87,20.4
17,10,2012,Winter,control,CK,I,1,CKI1,1691,22.5
16,10,2012,Winter,control,CK,I,2,CKI2,510,25
16,10,2012,Winter,control,CK,N,1,CKN1,176,16
17,10,2012,Winter,control,CK,N,2,CKN2,70,35
16,10,2012,Winter,control,CK,N,3,CKN3,809,27.5
16,10,2012,Winter,control,CK,O,1,CKO1,4,40
16,10,2012,Winter,control,CK,O,2,CKO2,13,67.5
16,10,2012,Winter,control,CK,O,3,CKO3,93,37.5
16,10,2012,Winter,control,CR,I,1,CRI1,866,30
16,10,2012,Winter,control,CR,I,2,CRI2,1098,22.5
16,10,2012,Winter,control,CR,I,3,CRI3,542,15
16,10,2012,Winter,control,CR,N,1,CRN1,135,20
16,10,2012,Winter,control,CR,N,2,CRN2,362,22.5
16,10,2012,Winter,control,CR,N,3,CRN3,795,35
16,10,2012,Winter,control,CR,O,1,CRO1,29,65
16,10,2012,Winter,control,CR,O,3,CRO3,20,40
16,10,2012,Winter,control,CR,O,4,CRO4,341,22.5
17,10,2012,Winter,control,LC,I,1,LCI1,831,20
17,10,2012,Winter,control,LC,I,2,LCI2,584,22.5
17,10,2012,Winter,control,LC,I,3,LCI3,484,24
17,10,2012,Winter,control,LC,N,1,LCN1,18,32.5
17,10,2012,Winter,control,LC,N,2,LCN2,0,20
17,10,2012,Winter,control,LC,N,3,LCN3,113,30
17,10,2012,Winter,control,LC,N,4,LCN4,1,17.5
17,10,2012,Winter,control,LC,O,3,LCO3,29,17.5
17,10,2012,Winter,control,LC,O,8A,LCO8A,3,20
17,10,2012,Winter,control,LC,O,9B,LCO9B,0,37.5
14,11,2012,Winter,control,HB,I,1,HBI1,2019,33
14,11,2012,Winter,control,HB,I,2,HBI2,1324,16
14,11,2012,Winter,control,HB,I,3,HBI3,629,25
14,11,2012,Winter,control,HB,N,1,HBN1,7,18.1
14,11,2012,Winter,control,HB,N,2,HBN2,18,25
14,11,2012,Winter,control,HB,N,3,HBN3,7,16.65
24,4,2013,Summer,control,LC,O,10,LCO10A,5,66
23,4,2013,Summer,control,LC,O,10,LCO10B,131,66
23,4,2013,Summer,control,LC,O,11,LCO11A,31,66
23,4,2013,Summer,control,LC,O,11,LCO11B,27,66
23,4,2013,Summer,control,LC,O,12,LCO12,146,66
24,4,2013,Summer,control,LC,O,8B,LCO8B,49,66
24,4,2013,Summer,control,LC,O,9A,LCO9A,7,66
24,4,2013,Summer,control,LC,O,9C,LCO9C,8,66
28,10,2014,Winter,rocks,LC,O,10,LCO10B,2488,64.8
27,10,2014,Winter,rocks,LC,O,11,LCO11A,747,64.8
27,10,2014,Winter,control,LC,O,12,LCO12,748,63.01
28,10,2014,Winter,rocks,LC,O,9A,LCO9A,1771,65.6
11,11,2014,Winter,control,LC,O,10,LCO10A,375,64.6
11,11,2014,Winter,control,LC,O,11,LCO11B,1012,64
11,11,2014,Winter,rocks,LC,O,8B,LCO8B,1136,60.7
5,12,2014,Winter,control,LC,O,9C,LCO9C,211,20.8
21,1,2015,Winter,control,LC,O,9C,LCO9C,1171,43.3
17,5,2015,Summer,control,LC,O,10,LCO10A,307,63.58
18,5,2015,Summer,rocks,LC,O,10,LCO10B,1109,65.29
31,5,2015,Summer,control,LC,O,11,LCO11B,328,64.54
31,5,2015,Summer,control,LC,O,12,LCO12,442,61
16,5,2015,Summer,control,LC,O,8B,LCO8B,254,64.14
16,5,2015,Summer,rocks,LC,O,9A,LCO9A,1180,63.8
17,5,2015,Summer,rocks,LC,O,9C,LCO9C,2181,65.78
1,6,2015,Summer,rocks,LC,O,11,LCO11A,1288,63.01
7,11,2017,Winter,control,LC,O,10,LCO10A,79,66
7,11,2017,Winter,rocks,LC,O,10,LCO10B,1294,66
7,11,2017,Winter,rocks,LC,O,11,LCO11A,1092,66
8,11,2017,Winter,control,LC,O,11,LCO11B,64,66
8,11,2017,Winter,control,LC,O,12,LCO12,134,66
7,11,2017,Winter,rocks,LC,O,8B,LCO8B,322,66
7,11,2017,Winter,rocks,LC,O,9A,LCO9A,556,66
6,11,2017,Winter,control,LC,O,9C,LCO9C,409,66
30,1,2018,Winter,control,LT,I,1,LTI1,445,27.5
