station,date_deploy,date_retrieve,month,year,tot_shell_vol_mL,tot_shell_wt_g,shell_num,height_mm,length_mm,ext_count,int_count,barnacle,max_spat_ht_mm,notes
wq1,4/17/2018,6/8/2018,April,2018,240,431,1,74,61,27,18,light,13,
wq1,4/17/2018,6/8/2018,April,2018,240,431,2,77,41,13,18,light,10,
wq1,4/17/2018,6/8/2018,April,2018,240,431,3,80,65,43,19,light,13,
wq1,4/17/2018,6/8/2018,April,2018,240,431,4,77,49,26,10,light,13,
wq1,4/17/2018,6/8/2018,April,2018,240,431,5,95,59,40,15,moderate,9,
wq1,4/17/2018,6/8/2018,April,2018,240,431,6,109,53,15,25,moderate,10,
wq1,4/17/2018,6/8/2018,April,2018,240,431,7,82,48,18,23,moderate,14,
wq1,4/17/2018,6/8/2018,April,2018,240,431,8,88,55,43,19,moderate,12,
wq1,4/17/2018,6/8/2018,April,2018,240,431,9,80,66,29,13,moderate,13,
wq1,4/17/2018,6/8/2018,April,2018,240,431,10,86,43,15,15,heavy,11,
wq1,4/17/2018,6/8/2018,April,2018,240,431,bag,0,0,4,0,light,4,
wq2,4/17/2018,6/8/2018,April,2018,220,456,,,,,,,,sensor lost
wq3,4/17/2018,6/8/2018,April,2018,190,433,1,70,58,2,3,light,19,
wq3,4/17/2018,6/8/2018,April,2018,190,433,2,80,52,5,1,light,20,
wq3,4/17/2018,6/8/2018,April,2018,190,433,3,87,52,19,8,light,22,
wq3,4/17/2018,6/8/2018,April,2018,190,433,4,83,60,11,6,light,18,
wq3,4/17/2018,6/8/2018,April,2018,190,433,5,83,44,13,10,light,13,
wq3,4/17/2018,6/8/2018,April,2018,190,433,6,80,51,11,8,light,17,
wq3,4/17/2018,6/8/2018,April,2018,190,433,7,85,45,9,3,light,19,
wq3,4/17/2018,6/8/2018,April,2018,190,433,8,95,55,10,4,light,16,
wq3,4/17/2018,6/8/2018,April,2018,190,433,9,83,53,17,7,light,12,
wq3,4/17/2018,6/8/2018,April,2018,190,433,10,83,51,18,6,light,14,
wq3,4/17/2018,6/8/2018,April,2018,190,433,bag,0,0,1,0,light,10,
wq4,4/17/2018,6/8/2018,April,2018,230,449,1,100,56,17,12,heavy,21,
wq4,4/17/2018,6/8/2018,April,2018,230,449,2,77,52,5,7,heavy,20,
wq4,4/17/2018,6/8/2018,April,2018,230,449,3,105,57,6,1,heavy,10,
wq4,4/17/2018,6/8/2018,April,2018,230,449,4,111,63,26,8,heavy,18,
wq4,4/17/2018,6/8/2018,April,2018,230,449,5,103,66,28,8,heavy,24,
wq4,4/17/2018,6/8/2018,April,2018,230,449,6,84,38,9,5,heavy,19,
wq4,4/17/2018,6/8/2018,April,2018,230,449,7,83,77,15,3,heavy,19,
wq4,4/17/2018,6/8/2018,April,2018,230,449,8,100,54,8,10,heavy,11,
wq4,4/17/2018,6/8/2018,April,2018,230,449,9,98,48,17,12,heavy,20,
wq4,4/17/2018,6/8/2018,April,2018,230,449,10,100,52,19,4,heavy,29,
wq4,4/17/2018,6/8/2018,April,2018,230,449,bag,0,0,1,0,light,9,
wq5,4/17/2018,6/8/2018,April,2018,200,418,1,106,52,5,7,heavy,15,
wq5,4/17/2018,6/8/2018,April,2018,200,418,2,73,60,12,9,heavy,11,
wq5,4/17/2018,6/8/2018,April,2018,200,418,3,85,44,3,3,heavy,10,
wq5,4/17/2018,6/8/2018,April,2018,200,418,4,81,53,5,7,heavy,17,
wq5,4/17/2018,6/8/2018,April,2018,200,418,5,90,56,14,3,heavy,10,
wq5,4/17/2018,6/8/2018,April,2018,200,418,6,90,53,8,6,heavy,17,
wq5,4/17/2018,6/8/2018,April,2018,200,418,7,95,54,6,11,heavy,20,
wq5,4/17/2018,6/8/2018,April,2018,200,418,8,93,45,11,23,heavy,23,
wq5,4/17/2018,6/8/2018,April,2018,200,418,9,103,50,6,1,heavy,13,
wq5,4/17/2018,6/8/2018,April,2018,200,418,10,89,45,1,7,heavy,20,
wq5,4/17/2018,6/8/2018,April,2018,200,418,bag,0,0,0,0,light,0,
wq6,4/17/2018,6/8/2018,April,2018,215,437,1,94,58,3,27,moderate,15,
wq6,4/17/2018,6/8/2018,April,2018,215,437,2,86,60,5,25,moderate,12,
wq6,4/17/2018,6/8/2018,April,2018,215,437,3,77,63,12,12,moderate,16,
wq6,4/17/2018,6/8/2018,April,2018,215,437,4,107,68,25,20,moderate,16,
wq6,4/17/2018,6/8/2018,April,2018,215,437,5,111,56,14,18,moderate,19,
wq6,4/17/2018,6/8/2018,April,2018,215,437,6,76,74,4,23,moderate,22,
wq6,4/17/2018,6/8/2018,April,2018,215,437,7,98,54,21,17,moderate,15,
wq6,4/17/2018,6/8/2018,April,2018,215,437,8,66,37,3,4,moderate,19,
wq6,4/17/2018,6/8/2018,April,2018,215,437,9,79,56,16,25,moderate,16,
wq6,4/17/2018,6/8/2018,April,2018,215,437,10,72,39,5,8,moderate,18,
wq6,4/17/2018,6/8/2018,April,2018,215,437,bag,0,0,0,0,light,0,
wq7,4/17/2018,6/8/2018,April,2018,230,456,1,79,56,1,5,moderate,17,
wq7,4/17/2018,6/8/2018,April,2018,230,456,2,88,59,4,7,moderate,10,
wq7,4/17/2018,6/8/2018,April,2018,230,456,3,79,63,0,0,moderate,0,
wq7,4/17/2018,6/8/2018,April,2018,230,456,4,95,68,1,14,moderate,12,
wq7,4/17/2018,6/8/2018,April,2018,230,456,5,103,51,2,0,moderate,7,
wq7,4/17/2018,6/8/2018,April,2018,230,456,6,75,53,13,3,moderate,10,
wq7,4/17/2018,6/8/2018,April,2018,230,456,7,84,68,1,10,moderate,11,
wq7,4/17/2018,6/8/2018,April,2018,230,456,8,82,66,0,1,moderate,5,
wq7,4/17/2018,6/8/2018,April,2018,230,456,9,89,46,0,2,moderate,6,
wq7,4/17/2018,6/8/2018,April,2018,230,456,10,68,50,0,2,moderate,8,
wq7,4/17/2018,6/8/2018,April,2018,230,456,bag,0,0,0,0,light,0,
wq8,4/17/2018,6/8/2018,April,2018,210,452,1,68,58,4,22,light,6,
wq8,4/17/2018,6/8/2018,April,2018,210,452,2,86,42,13,3,light,15,
wq8,4/17/2018,6/8/2018,April,2018,210,452,3,67,43,8,11,moderate,11,
wq8,4/17/2018,6/8/2018,April,2018,210,452,4,77,53,12,2,light,11,
wq8,4/17/2018,6/8/2018,April,2018,210,452,5,103,59,47,17,light,10,
wq8,4/17/2018,6/8/2018,April,2018,210,452,6,84,61,15,14,moderate,8,
wq8,4/17/2018,6/8/2018,April,2018,210,452,7,67,43,5,5,light,13,
wq8,4/17/2018,6/8/2018,April,2018,210,452,8,94,59,11,23,moderate,8,
wq8,4/17/2018,6/8/2018,April,2018,210,452,9,79,56,7,12,light,10,
wq8,4/17/2018,6/8/2018,April,2018,210,452,10,92,53,3,14,moderate,5,
wq8,4/17/2018,6/8/2018,April,2018,210,452,bag,0,0,2,0,light,5,
wq9,4/17/2018,6/8/2018,April,2018,200,450,1,83,66,4,1,light,17,
wq9,4/17/2018,6/8/2018,April,2018,200,450,2,78,70,7,4,light,10,
wq9,4/17/2018,6/8/2018,April,2018,200,450,3,79,65,15,2,light,19,
wq9,4/17/2018,6/8/2018,April,2018,200,450,4,69,59,6,5,light,32,
wq9,4/17/2018,6/8/2018,April,2018,200,450,5,29,53,3,0,light,26,
wq9,4/17/2018,6/8/2018,April,2018,200,450,6,97,41,3,1,light,17,
wq9,4/17/2018,6/8/2018,April,2018,200,450,7,82,68,9,10,light,24,
wq9,4/17/2018,6/8/2018,April,2018,200,450,8,77,52,2,1,light,17,
wq9,4/17/2018,6/8/2018,April,2018,200,450,9,74,58,6,9,light,17,
wq9,4/17/2018,6/8/2018,April,2018,200,450,10,93,70,5,7,light,21,
wq9,4/17/2018,6/8/2018,April,2018,200,450,bag,0,0,4,0,light,10,
wq1,6/8/2018,7/9/2018,June,2018,175,370,1,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,2,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,3,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,4,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,5,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,6,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,7,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,8,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,9,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,10,,,,,,,
wq1,6/8/2018,7/9/2018,June,2018,175,370,bag,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,1,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,2,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,3,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,4,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,5,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,6,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,7,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,8,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,9,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,10,,,,,,,
wq2,6/8/2018,7/9/2018,June,2018,250,469,bag,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,1,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,2,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,3,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,4,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,5,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,6,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,7,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,8,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,9,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,10,,,,,,,
wq3,6/8/2018,7/9/2018,June,2018,150,314,bag,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,1,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,2,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,3,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,4,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,5,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,6,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,7,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,8,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,9,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,10,,,,,,,
wq4,6/8/2018,7/9/2018,June,2018,225,436,bag,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,1,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,2,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,3,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,4,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,5,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,6,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,7,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,8,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,9,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,10,,,,,,,
wq5,6/8/2018,7/9/2018,June,2018,175,332,bag,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,1,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,2,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,3,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,4,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,5,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,6,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,7,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,8,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,9,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,10,,,,,,,
wq6,6/8/2018,7/9/2018,June,2018,150,318,bag,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,1,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,2,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,3,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,4,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,5,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,6,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,7,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,8,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,9,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,10,,,,,,,
wq7,6/8/2018,7/9/2018,June,2018,105,258,bag,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,1,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,2,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,3,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,4,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,5,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,6,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,7,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,8,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,9,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,10,,,,,,,
wq8,6/8/2018,7/9/2018,June,2018,150,310,bag,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,2,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,3,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,4,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,5,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,6,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,7,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,8,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,9,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,10,,,,,,,
wq9,6/8/2018,7/9/2018,June,2018,175,434,bag,,,,,,,
wq1,,,,,,,,,,,,,,sensor removed for construction
wq2,,,,,,,,,,,,,,sensor removed for construction
wq3,7/9/2018,,July,2018,165,315,,,,,,,,
wq4,7/9/2018,,July,2018,215,408,,,,,,,,
wq5,7/9/2018,,July,2018,240,450,,,,,,,,
wq6,7/9/2018,,July,2018,190,387,,,,,,,,
wq7,7/9/2018,,July,2018,215,426,,,,,,,,
wq8,7/9/2018,,July,2018,165,374,,,,,,,,
wq9,7/9/2018,,July,2018,190,362,,,,,,,,
