FID,point,bar,station
0,PC4,2,LCO2
1,PC9,2,LCO2
2,PC14,2,LCO2
3,PC15,2,LCO2
4,PC19,2,LCO2
5,PC20,2,LCO2
6,PC26,2,LCO2
7,PC27,2,LCO2
8,PC56,2,LCO2
9,PC70,2,LCO2
10,PC71,2,LCO2
11,PC79,2,LCO2
12,PC80,2,LCO2
13,PC100,3,LCO3
14,PC101,3,LCO3
15,PC112,3,LCO3
16,PC113,3,LCO3
17,PC129,3,LCO3
18,PC140,3,LCO3
19,PC185,4,LCO4
20,PC186,4,LCO4
21,PC197,4,LCO4
22,PC218,5,LCO5
23,PC234,5,LCO5
24,PC242,5,LCO5
25,PC264,6,LCO6
26,PC304,8A,LCO8A
27,PC314,7,LCO7
28,PC336,7,LCO7
29,PC337,7,LCO7
30,PC345,8A,LCO8A
31,PC346,8A,LCO8A
32,PC358,8A,LCO8A
33,PC397,8A,LCO8A
34,PC407,8B,LCO8B
35,PC408,8B,LCO8B
36,PC423,8B,LCO8B
37,PC424,8B,LCO8B
38,PC438,8B,LCO8B
39,PC439,8B,LCO8B
40,PC484,9B,LCO9B
41,PC492,9B,LCO9B
42,PC514,9B,LCO9B
43,PC515,9B,LCO9B
44,PC521,9B,LCO9B
45,PC522,9B,LCO9B
46,PC540,9B,LCO9B
47,PC541,9B,LCO9B
48,PC547,9B,LCO9B
49,PC548,9B,LCO9B
50,PC571,10A,LCO10A
51,PC572,10A,LCO10A
52,PC581,10A,LCO10A
53,PC604,10A,LCO10A
54,PC614,10A,LCO10A
55,PC633,10A,LCO10A
56,PC634,10A,LCO10A
57,PC646,12,LCO12
58,PC657,12,LCO12
59,PC658,12,LCO12
60,PC670,12,LCO12
61,PC671,12,LCO12
62,PC685,13,LCO13
63,PC686,13,LCO13
64,PC703,13,LCO13
65,PC704,13,LCO13
66,PC719,14,LCO14
67,PC720,14,LCO14
68,PC736,14,LCO14
69,PC737,14,LCO14
70,PC754,14,LCO14
71,PC755,14,LCO14
72,PC774,15,LCO15
73,PC793,15,LCO15
74,PC806,15,LCO15
75,PC807,15,LCO15
76,PC824,15,LCO15
77,PC825,15,LCO15
78,PC844,15,LCO15
79,PC859,16,LCO16
80,PC871,16,LCO16
81,PC872,16,LCO16
82,PC881,16,LCO16
83,PC896,16,LCO16
84,PC918,17,LCO17
85,PC935,17,LCO17
86,PC936,17,LCO17
87,PC955,17,LCO17
88,PC973,18,LCO18
89,PC992,18,LCO18
90,PC1005,19,LCO19
91,PC1039,19,LCO19
92,PC1057,19,LCO19
93,PC1058,19,LCO19
94,PC1077,19,LCO19
95,PC1078,19,LCO19
96,PC1098,19,LCO19
97,PC1120,19,LCO19
98,PC1141,19,LCO19
99,PC1158,11B,LCO11B
100,PC1173,11B,LCO11B
101,PC1174,11B,LCO11B
102,PC1185,11B,LCO11B
103,PC1201,11B,LCO11B
104,PC1213,10B,LCO10B
105,PC1227,10B,LCO10B
106,PC1228,10B,LCO10B
107,PC1242,10B,LCO10B
108,PC1243,10B,LCO10B
109,PC1282,19,LCO19
110,PC1311,20,LCO20
111,PC1333,20,LCO20
112,PC1334,20,LCO20
113,PC1360,20,LCO20
114,PC1380,20,LCO20
115,PC1397,20,LCO20
116,PC1398,20,LCO20
117,PC1420,20,LCO20
118,PC1421,20,LCO20
119,PC1446,21,LCO21
120,PC1447,21,LCO21
121,PC1467,21,LCO21
122,PC1490,21,LCO21
123,PC1515,21,LCO21
124,PC1532,21,LCO21
125,PC1533,21,LCO21
126,PC1553,21,LCO21
127,PC1573,22,LCO22
128,PC1590,22,LCO22
129,PC1615,22,LCO22
130,PC1637,22,LCO22
131,PC1663,22,LCO22
132,PC1688,22,LCO22
133,PC1703,22,LCO22
134,PC1704,22,LCO22
135,PC1730,8B,LCO8B
136,PC1731,8B,LCO8B
137,PC1743,9A,LCO9A
138,PC1744,9A,LCO9A
139,PC1758,8B,LCO8B
140,PC1759,8B,LCO8B
141,PC1763,7,LCO7
142,PC1764,7,LCO7
143,PC1772,8A,LCO8A
144,PC1773,8A,LCO8A
145,PC1784,6,LCO6
146,PC1785,6,LCO6
147,PC1792,5,LCO5
148,PC1793,5,LCO5
149,PC1794,5,LCO5
150,PC1795,5,LCO5
151,PC1801,6,LCO6
152,PC1802,6,LCO6
153,PC1803,6,LCO6
154,PC1804,6,LCO6
155,PC1805,6,LCO6
156,PC1810,7,LCO7
157,PC1811,7,LCO7
158,PC1826,5,LCO5
159,PC1833,4,LCO4
160,PC1846,5,LCO5
161,PC1860,3,LCO3
162,PC1861,3,LCO3
163,PC1862,3,LCO3
164,PC1863,3,LCO3
165,PC1929,2,LCO2
166,PC1930,2,LCO2
167,PC1931,2,LCO2
168,PC1932,2,LCO2
169,PC1933,2,LCO2
170,PC1934,2,LCO2
171,PC1935,2,LCO2
172,PC1936,2,LCO2
173,PC1937,2,LCO2
174,PC2061,10B,LCO10B
175,PC2088,8A,LCO8A
176,PC2089,8A,LCO8A
177,PC2103,8A,LCO8A
178,PC2104,8A,LCO8A
179,PC2113,7,LCO7
180,PC2145,5,LCO5
181,PC2166,21,LCO21
182,PC2185,20,LCO20
183,PC2207,21,LCO21
184,PC2208,21,LCO21
185,PC2209,21,LCO21
186,PC2210,21,LCO21
187,PC2211,21,LCO21
188,PC2224,20,LCO20
189,PC2225,20,LCO20
190,PC2229,18,LCO18
191,PC2230,18,LCO18
192,PC2253,19,LCO19
193,PC2254,19,LCO19
194,PC2255,19,LCO19
195,PC2256,19,LCO19
196,PC2257,19,LCO19
197,PC2274,18,LCO18
198,PC2275,18,LCO18
199,PC2302,19,LCO19
200,PC2303,19,LCO19
201,PC2304,19,LCO19
202,PC2305,19,LCO19
203,PC2306,19,LCO19
204,PC2353,20,LCO20
205,PC2354,20,LCO20
206,PC2355,20,LCO20
207,PC2407,19,LCO19
208,PC2408,19,LCO19
209,PC2409,19,LCO19
210,PC2460,20,LCO20
211,PC2461,20,LCO20
212,PC2462,20,LCO20
213,PC2464,21,LCO21
214,PC2475,22,LCO22
215,PC2476,22,LCO22
216,PC2480,22,LCO22
217,PC2481,22,LCO22
218,PC2482,22,LCO22
219,PC2500,21,LCO21
220,PC2518,22,LCO22
221,PC2519,22,LCO22
222,PC2520,22,LCO22
223,PC2521,22,LCO22
224,PC2522,22,LCO22
225,PC2561,18,LCO18
226,PC2577,17,LCO17
227,PC2578,17,LCO17
228,PC2579,17,LCO17
229,PC2621,17,LCO17
230,PC2622,17,LCO17
231,PC2623,17,LCO17
232,PC2624,17,LCO17
233,PC2694,17,LCO17
234,PC2695,17,LCO17
235,PC2769,16,LCO16
236,PC2770,16,LCO16
237,PC2842,16,LCO16
238,PC2843,16,LCO16
239,PC2844,16,LCO16
240,PC2853,15,LCO15
241,PC2854,15,LCO15
242,PC2855,15,LCO15
243,PC2856,15,LCO15
244,PC2875,10B,LCO10B
245,PC2887,11A,LCO11A
246,PC2888,11A,LCO11A
247,PC2889,11A,LCO11A
248,PC2890,11A,LCO11A
249,PC2933,11B,LCO11B
250,PC2934,11B,LCO11B
251,PC2935,11B,LCO11B
252,PC2936,11B,LCO11B
253,PC2937,11B,LCO11B
254,PC2945,12,LCO12
255,PC2946,12,LCO12
256,PC2947,12,LCO12
257,PC2948,12,LCO12
258,PC2949,12,LCO12
259,PC2950,12,LCO12
260,PC2987,12,LCO12
261,PC2988,12,LCO12
262,PC2989,12,LCO12
263,PC2990,12,LCO12
264,PC2991,12,LCO12
265,PC3001,13,LCO13
266,PC3002,13,LCO13
267,PC3003,13,LCO13
268,PC3004,13,LCO13
269,PC3005,13,LCO13
270,PC3006,13,LCO13
271,PC3023,12,LCO12
272,PC3024,12,LCO12
273,PC3025,12,LCO12
274,PC3028,12,LCO12
275,PC3029,12,LCO12
276,PC3071,14,LCO14
277,PC3083,15,LCO15
278,PC3084,15,LCO15
279,PC3108,9B,LCO9B
280,PC3109,9B,LCO9B
281,PC3110,9B,LCO9B
282,PC3111,9B,LCO9B
283,PC3128,10A,LCO10A
284,PC3129,10A,LCO10A
285,PC3130,10A,LCO10A
286,PC3131,10A,LCO10A
287,PC3142,9B,LCO9B
288,PC3188,10A,LCO10A
289,PC3213,10B,LCO10B
290,PC3214,10B,LCO10B
291,PC3247,11A,LCO11A
292,PC3261,11A,LCO11A
293,PC3281,11B,LCO11B
294,PC3294,11B,LCO11B
295,PC3327,12,LCO12
296,PC3349,12,LCO12
297,PC3350,12,LCO12
298,PC3381,13,LCO13
299,PC3393,13,LCO13
300,PC3401,13,LCO13
301,PC3424,13,LCO13
302,PC3447,13,LCO13
303,PC3471,15,LCO15
304,PC3483,16,LCO16
305,PC3501,15,LCO15
306,PC3508,14,LCO14
307,PC3509,14,LCO14
308,PC3510,14,LCO14
309,PC3521,15,LCO15
310,PC3522,15,LCO15
311,PC3531,16,LCO16
312,PC3558,16,LCO16
313,PC3559,16,LCO16
314,PC3606,17,LCO17
315,PC3624,17,LCO17
316,PC3664,18,LCO18
317,PC3665,18,LCO18
318,PC3680,18,LCO18
319,PC3709,19,LCO19
320,PC3730,19,LCO19
321,PC3731,19,LCO19
322,PC3794,20,LCO20
323,PC3807,20,LCO20
324,PC3830,20,LCO20
325,PC3831,20,LCO20
326,PC3846,21,LCO21
327,PC3876,21,LCO21
328,PC3877,21,LCO21
329,PC3896,21,LCO21
330,PC3897,21,LCO21
331,PC3921,21,LCO21
332,PC3922,21,LCO21
333,PC3932,22,LCO22
334,PC3965,22,LCO22
