,Number,Date,Time,Lat_st,Long_st,Lat_end,Long_end,station,transect
119,148,3/5/2019,07:10.0,29.26701636,-83.08469501,29.26698158,-83.08446167,BTI1,1
121,150,3/5/2019,11:27.0,29.2683944,-83.08316414,29.26820324,-83.08314388,BTI2,1
124,153,3/5/2019,14:14.0,29.26810544,-83.08310374,29.26811978,-83.08291805,BTI2,2
118,146,3/5/2019,01:19.0,29.26735365,-83.08276845,29.26716851,-83.0827678,BTI3,1
115,143,3/5/2019,57:43.0,29.267009,-83.08213626,29.26699996,-83.08192927,BTI3,2
113,141,3/5/2019,52:38.0,29.26484452,-83.08342456,29.26485487,-83.08315782,BTI4,1
111,139,3/5/2019,47:08.0,29.26374341,-83.08419971,29.26372981,-83.08391061,BTI4,2
127,156,3/5/2019,25:46.0,29.26427643,-83.08033077,29.26408041,-83.08036497,BTI5,1
129,158,3/5/2019,27:27.0,29.264207,-83.08053929,29.26418754,-83.0801163,BTI5,2
125,154,3/5/2019,18:59.0,29.26522123,-83.08103123,29.26512083,-83.08088832,BTI6,1
101,117,3/5/2019,22:01.0,29.25956898,-83.1095781,29.25947324,-83.10937563,LCO10A,1
102,118,3/5/2019,22:30.0,29.25958359,-83.10957349,29.259486,-83.10936801,LCO10A,2
103,120,3/5/2019,23:25.0,29.2596067,-83.10955904,29.25950877,-83.10935175,LCO10A,3
104,121,3/5/2019,24:02.0,29.25961973,-83.10955257,29.25952117,-83.10934621,LCO10A,4
105,122,3/5/2019,24:35.0,29.25964413,-83.10954257,29.25954401,-83.10933095,LCO10A,5
95,111,3/5/2019,12:00.0,29.25622392,-83.10660412,29.25607949,-83.10644203,LCO11B,1
96,112,3/5/2019,12:27.0,29.25623311,-83.106591,29.25608937,-83.10643057,LCO11B,2
97,113,3/5/2019,12:56.0,29.25624026,-83.10657907,29.25609661,-83.10641959,LCO11B,3
85,100,3/5/2019,03:11.0,29.25503681,-83.10547806,29.25488718,-83.10532397,LCO12,1
86,101,3/5/2019,03:37.0,29.25504687,-83.10546539,29.25489431,-83.10531221,LCO12,2
87,102,3/5/2019,04:03.0,29.25505634,-83.10545406,29.25490323,-83.10529984,LCO12,3
88,103,3/5/2019,04:32.0,29.25507654,-83.10543137,29.25492159,-83.1052765,LCO12,4
89,104,3/5/2019,05:02.0,29.2550919,-83.10540803,29.2549422,-83.10525566,LCO12,5
79,94,3/5/2019,56:05.0,29.2526711,-83.10298983,29.25252203,-83.10281879,LCO14,1
80,95,3/5/2019,56:29.0,29.25268429,-83.10297655,29.25253327,-83.10280243,LCO14,2
81,96,3/5/2019,56:49.0,29.25270307,-83.10295529,29.25255329,-83.10278308,LCO14,3
63,78,3/5/2019,44:19.0,29.25216244,-83.102196,29.25201244,-83.10204155,LCO15,1
64,79,3/5/2019,44:41.0,29.25217203,-83.10217576,29.25202249,-83.10203106,LCO15,2
65,80,3/5/2019,45:05.0,29.252189,-83.10216523,29.25204078,-83.10201848,LCO15,3
66,81,3/5/2019,45:31.0,29.25219749,-83.10214308,29.25204651,-83.10199281,LCO15,4
67,82,3/5/2019,46:03.0,29.2522048,-83.10212146,29.25204954,-83.10197183,LCO15,5
73,88,3/5/2019,49:39.0,29.25174654,-83.10176982,29.25158529,-83.10160775,LCO15,6
74,89,3/5/2019,50:10.0,29.25178497,-83.10172824,29.25162295,-83.10156714,LCO15,7
75,90,3/5/2019,50:41.0,29.25179955,-83.10171165,29.2516361,-83.10155101,LCO15,8
61,76,3/5/2019,37:58.0,29.25031158,-83.10034233,29.25013505,-83.10020684,LCO16,1
57,72,3/5/2019,31:48.0,29.24514329,-83.09964374,29.24494319,-83.09958468,LCO17,1
58,73,3/5/2019,32:12.0,29.24515419,-83.09960562,29.24495337,-83.09954401,LCO17,2
47,62,3/5/2019,24:01.0,29.24153887,-83.09733512,29.24135509,-83.09721116,LCO19,1
48,63,3/5/2019,24:21.0,29.24155014,-83.09731812,29.24136549,-83.09719227,LCO19,2
49,64,3/5/2019,24:45.0,29.2415599,-83.09730216,29.24137678,-83.09717363,LCO19,3
50,65,3/5/2019,25:05.0,29.24156757,-83.0972821,29.24138347,-83.09715641,LCO19,4
51,66,3/5/2019,25:27.0,29.24157446,-83.09726387,29.24139235,-83.09713576,LCO19,5
2,6,2/21/2019,40:46.0,29.26555521,-83.11642056,29.26537296,-83.11635509,LCO2,1
41,56,3/5/2019,16:21.0,29.2367641,-83.09526596,29.23658555,-83.09514419,LCO20,1
42,57,3/5/2019,16:42.0,29.23677581,-83.09524872,29.2365924,-83.09512508,LCO20,2
43,58,3/5/2019,17:07.0,29.23678363,-83.09522885,29.23660083,-83.0951073,LCO20,3
29,44,3/5/2019,00:33.0,29.23394635,-83.09367757,29.23376541,-83.09357483,LCO21,1
30,45,3/5/2019,00:59.0,29.23395301,-83.0936609,29.23377053,-83.09355489,LCO21,2
31,46,3/5/2019,01:24.0,29.23397031,-83.09362094,29.23378769,-83.09351795,LCO21,3
35,50,3/5/2019,07:33.0,29.23290795,-83.09307409,29.23273146,-83.09296464,LCO21,4
36,51,3/5/2019,08:04.0,29.23292959,-83.09301792,29.23275408,-83.09290911,LCO21,5
37,52,3/5/2019,08:25.0,29.23293561,-83.09300279,29.23276527,-83.09289346,LCO21,6
3,7,2/21/2019,02:33.0,29.26478289,-83.115947,29.26466987,-83.11608861,LCO3,1
8,12,2/21/2019,18:47.0,29.26370949,-83.11525358,29.26363845,-83.11504162,LCO4,1
5,9,2/21/2019,37:46.0,29.2627592,-83.11305656,29.26265921,-83.11317292,LCO8A,1
9,13,2/21/2019,30:13.0,29.2609687,-83.11151804,29.26081669,-83.11136267,LCO9B,1
10,14,2/21/2019,30:41.0,29.26098189,-83.11150385,29.26082412,-83.11134156,LCO9B,2
11,15,2/21/2019,31:17.0,29.26099368,-83.1114881,29.26083534,-83.11132116,LCO9B,3
12,16,2/21/2019,31:42.0,29.26100615,-83.11147499,29.26084877,-83.11130648,LCO9B,4
13,17,2/21/2019,32:14.0,29.26101776,-83.11145978,29.26086828,-83.11130197,LCO9B,5
23,29,2/21/2019,43:52.0,29.26020765,-83.11077488,29.26009116,-83.11058382,LCO9C,1
22,28,2/21/2019,43:29.0,29.26021738,-83.11076756,29.2601027,-83.11057478,LCO9C,2
21,26,2/21/2019,41:52.0,29.26022851,-83.11075676,29.26011517,-83.11056668,LCO9C,3
20,25,2/21/2019,41:28.0,29.26023972,-83.11074782,29.26012581,-83.11055749,LCO9C,4
19,24,2/21/2019,41:03.0,29.26025149,-83.11074029,29.26013463,-83.11054961,LCO9C,5
132,161,3/5/2019,35:04.0,29.25870607,-83.07754435,29.25848159,-83.07736953,LTI1,1
134,163,3/5/2019,39:39.0,29.25777425,-83.07653295,29.25766002,-83.07633753,LTI2,1
135,164,3/5/2019,42:51.0,29.25858696,-83.07532937,29.25824052,-83.07534813,LTI3,1
144,173,3/5/2019,55:54.0,29.2598184,-83.07576998,29.25950705,-83.07578364,LTI4,1
139,168,3/5/2019,48:34.0,29.25961697,-83.07658299,29.25961568,-83.07637512,LTI5,1
140,169,3/5/2019,49:14.0,29.25953947,-83.07654531,29.25953664,-83.07635028,LTI5,2
138,167,3/5/2019,47:30.0,29.25939165,-83.0767415,29.25938955,-83.07654487,LTI6,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
